track,band,label,year,first,last
"Can't Buy Me Love",The Beatles,Parlophone,1964,Paul,McCartney
"I Feel Fine",The Beatles,Parlophone,1964,John,Lennon
"A Hard Day's Night",The Beatles,Parlophone,1964,John,Lennon
"Sound of Silence",Simon and Garfunkel,Columbia,1964,Paul,Simon
"Help!",The Beatles,Parlophone,1965,John,Lennon
"Ticket to Ride",The Beatles,Parlophone,1965,John,Lennon
"I am a Rock",Simon and Garfunkel,Columbia,1965,Paul,Simon
"Yellow Submarine / Eleanor Rigby",The Beatles,Parlophone,1966,Paul,McCartney
"Homeward Bound",Simon and Garfunkel,Columbia,1966,Paul,Simon
"Scarborough Fair",Simon and Garfunkel,Columbia,1966,unknown,unknown
"Penny Lane",The Beatles,Parlophone,1967,Paul,McCartney
"Strawberry Fields Forever",The Beatles,Parlophone,1967,John,Lennon
"Hello, Goodbye",The Beatles,Parlophone,1967,Paul,McCartney
"Ruby Tuesday",The Rolling Stones,Decca,1967,Keith,Richards
"All You Need Is Love",The Beatles,Parlophone,1967,John,Lennon
"Hey Jude",The Beatles,Apple,1968,Paul,McCartney
"Lady Madonna",The Beatles,Parlophone,1968,Paul,McCartney
"Get Back",The Beatles,Apple,1969,Paul,McCartney
"Sympathy for the Devil",The Rolling Stones,Decca,1969,Mick,Jagger
"Brown Sugar",The Rolling Stones,Rolling Stones Records,1971,Mick,Jagger
"Happy",The Rolling Stones,Rolling Stones Records,1972,Keith,Richards
